,Drink ID,Name,Category,Alcoholic,Glass,Ingredients,Measure
129,12944,Gluehwein,Punch / Party Drink,True,irish coffee cup,"['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']"
130,17252,Greyhound,Cocktail,True,collins glass,"['Vodka', 'Grapefruit Juice']","['1 1/2 oz', '3 oz']"
131,11407,Gin Cooler,Ordinary Drink,True,collins glass,"['Gin', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","['2 oz ', None, None, None, None]"
132,11418,Gin Squirt,Ordinary Drink,True,highball glass,"['Gin', 'Grenadine', 'Powdered sugar', 'Pineapple', 'Strawberries', 'Carbonated water']","['1 1/2 oz ', '1 tsp ', '1 tblsp ', '3 chunks', '2 ', None]"
133,15427,Grand Blue,Ordinary Drink,True,old-fashioned glass,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']","['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']"
134,17230,Gin Rickey,Cocktail,True,highball glass,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']","['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']"
135,11419,Gin Swizzle,Ordinary Drink,True,highball glass,"['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']"
136,11433,Grass Skirt,Ordinary Drink,True,old-fashioned glass,"['Gin', 'Triple sec', 'Pineapple juice', 'Grenadine', 'Pineapple']","['1 1/2 oz ', '1 oz ', '1 oz ', '1/2 tsp ', '1 ']"
137,14642,Grim Reaper,Ordinary Drink,True,old-fashioned glass,"['Kahlua', '151 proof rum', 'Grenadine']","['1 oz ', '1 oz Bacardi ', '1 dash ']"
138,17200,Grasshopper,Ordinary Drink,True,cocktail glass,"['Green Creme de Menthe', 'Creme de Cacao', 'Light cream']","['3/4 oz ', '3/4 oz white ', '3/4 oz ']"
139,12762,Grizzly Bear,Ordinary Drink,True,collins glass,"['Amaretto', 'Jägermeister', 'Kahlua', 'Milk']","['1 part ', '1 part ', '1 part ', '2 1/2 parts ']"
140,13497,Green Goblin,Beer,True,pint glass,"['Cider', 'Lager', 'Blue Curacao']","['1/2 pint hard ', '1/2 pint ', '1 shot ']"
141,16262,H.D.,Coffee / Tea,True,beer mug,"['Whisky', 'Baileys irish cream', 'Coffee']","['4 cl ', '8 cl ', None]"
142,178316,Honey Bee,Cocktail,True,margarita glass,"['White Rum', 'Honey', 'Lemon Juice', '', '', '', '']","['6 cl', '2 cl', '2 cl', '', '', '', '']"
143,15813,Herbal flame,Coffee / Tea,True,mason jar,"['Hot Damn', 'Tea']","['5 shots ', 'very sweet ']"
144,17202,Horse's Neck,Ordinary Drink,True,highball glass,"['Lemon peel', 'Brandy', 'Ginger ale', 'Bitters']","['1 long strip ', '2 oz ', '5 oz ', '2 dashes ']"
145,12766,Happy Skipper,Ordinary Drink,True,highball glass,"['Spiced rum', 'Ginger ale', 'Lime', 'Ice']","['1 1/2 cl ', None, None, None]"
146,17239,Hunter's Moon,Cocktail,True,balloon glass,"['Vermouth', 'Maraschino Cherry', 'Sugar Syrup', 'Lemonade', 'Blackberries']","['25 ml', '15 ml', '10 ml', '100 ml', '2']"
147,11470,Havana Cocktail,Ordinary Drink,True,cocktail glass,"['Light rum', 'Pineapple juice', 'Lemon juice']","['1 oz ', '1 oz ', '1 tsp ']"
148,12954,Holloween Punch,Punch / Party Drink,False,punch bowl,"['Grape juice', 'Carbonated soft drink', 'Sherbet', 'Sherbet']","[None, ', orange\n', None, None]"
149,14782,Hot Creamy Bush,Coffee / Tea,True,irish coffee cup,"['Irish whiskey', 'Baileys irish cream', 'Coffee']","['1 shot ', '3/4 shot ', '6 oz hot ']"
150,17044,Homemade Kahlua,Homemade Liqueur,True,collins glass,"['Sugar', 'Corn syrup', 'Coffee', 'Vanilla extract', 'Water', 'Vodka']","['2 1/2 cups ', '1 cup ', '1 1/2 oz instant ', '2 oz ', '3 cups boiling ', '1 fifth ']"
151,178313,Halloween Punch,Punch / Party Drink,True,punch bowl,"['Cherry Juice', 'Orange Peel', 'Red Chili Flakes', 'Cloves', 'Ginger', 'Vodka', '']","['1 bottle', '3', '1', '10', '6', '20 cl', '']"
152,11462,Harvey Wallbanger,Ordinary Drink,True,collins glass,"['Vodka', 'Galliano', 'Orange juice']","['1 oz ', '1/2 oz ', '4 oz ']"
153,11472,Hawaiian Cocktail,Ordinary Drink,True,cocktail glass,"['Gin', 'Triple sec', 'Pineapple juice']","['2 oz ', '1/2 oz ', '1 tblsp ']"
154,17201,Hemingway Special,Ordinary Drink,True,cocktail glass,"['Rum', 'Grapefruit Juice', 'Maraschino Liqueur', 'Lime Juice']","['12 parts', '8 parts', '3 parts', '3 parts']"
155,11476,Highland Fling Cocktail,Ordinary Drink,True,cocktail glass,"['Scotch', 'Sweet Vermouth', 'Orange bitters', 'Olive']","['1 1/2 oz ', '3/4 oz ', '2 dashes ', '1 ']"
156,17176,Ipamena,Ordinary Drink,True,wine glass,"['Lime', 'Brown sugar', 'Passion fruit juice', 'Ginger ale', 'Ice']","['½', '2 tsp', '4 cl', 'top up with', 'fill']"
157,12770,Iced Coffee,Coffee / Tea,False,coffee mug,"['Coffee', 'Sugar', 'Water', 'Milk']","['1/4 cup instant ', '1/4 cup ', '1/4 cup hot ', '4 cups cold ']"
158,12820,Irish Cream,Homemade Liqueur,True,irish coffee cup,"['Scotch', 'Half-and-half', 'Condensed milk', 'Coconut syrup', 'Chocolate syrup']","['1 cup ', '1 1/4 cup ', '1 can sweetened ', '3 drops ', '1 tblsp ']"
159,13539,Ice Pick #1,Ordinary Drink,True,collins glass,"['Vodka', 'Iced tea', 'Lemon juice']","['1 1/2 oz ', '6 oz ', ' to taste\n']"
160,11528,Irish Spring,Ordinary Drink,True,collins glass,"['Irish whiskey', 'Peach brandy', 'Orange juice', 'Sweet and sour', 'Orange', 'Cherry']","['1 oz ', '1/2 oz ', '1 oz ', '1 oz ', '1 slice ', '1 ']"
161,13971,Irish Coffee,Coffee / Tea,True,irish coffee cup,"['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']","['1 1/2 oz ', '8 oz ', '1 tsp ', '1 tblsp ']"
162,11524,Imperial Fizz,Ordinary Drink,True,highball glass,"['Light rum', 'Blended whiskey', 'Lemon', 'Powdered sugar', 'Carbonated water']","['1/2 oz ', '1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', None]"
163,17015,Irish Russian,Beer,True,highball glass,"['Vodka', 'Kahlua', 'Coca-Cola', 'Guinness stout']","['1 shot ', '1 shot ', '1 dash ', 'Fill with ']"
164,12706,Imperial Cocktail,Cocktail,True,cocktail glass,"['Lime juice', 'Gin', 'Aperol']","['4 cl ', '2 cl ', '4 cl ']"
165,12772,Iced Coffee Fillip,Coffee / Tea,True,coffee mug,"['Kahlua', 'Coffee']","['2 tsp ', 'Strong cold ']"
